10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上
526,667,1156,800,745,432,178,95,86,23,1,526,1193,2349,3149,3894,4326,4504,4599,4685,4708,4709
345,372,794,585,416,256,109,69,44,21,0,345,717,1511,2096,2512,2768,2877,2946,2990,3011,3011
441,519,1195,868,638,406,190,98,60,30,2,441,960,2155,3023,3661,4067,4257,4355,4415,4445,4447
482,564,1366,870,676,396,197,123,69,18,0,482,1046,2412,3282,3958,4354,4551,4674,4743,4761,4761
459,528,1219,752,528,385,160,96,59,25,2,459,987,2206,2958,3486,3871,4031,4127,4186,4211,4213
458,486,1138,767,556,342,144,98,81,27,3,458,944,2082,2849,3405,3747,3891,3989,4070,4097,4100
510,512,956,636,516,335,149,99,54,28,0,510,1022,1978,2614,3130,3465,3614,3713,3767,3795,3795
519,504,755,567,444,244,135,93,63,22,0,519,1023,1778,2345,2789,3033,3168,3261,3324,3346,3346
365,335,503,379,346,236,91,59,43,17,0,365,700,1203,1582,1928,2164,2255,2314,2357,2374,2374
604,471,775,642,538,316,138,83,60,35,0,604,1075,1850,2492,3030,3346,3484,3567,3627,3662,3662
725,569,926,778,633,359,154,93,69,45,1,725,1294,2220,2998,3631,3990,4144,4237,4306,4351,4352
629,537,860,815,623,361,158,106,60,20,0,629,1166,2026,2841,3464,3825,3983,4089,4149,4169,4169
564,440,769,688,536,310,96,82,59,23,4,564,1004,1773,2461,2997,3307,3403,3485,3544,3567,3571
619,429,672,663,491,266,118,79,84,40,1,619,1048,1720,2383,2874,3140,3258,3337,3421,3461,3462
622,466,609,566,517,256,119,70,56,26,6,622,1088,1697,2263,2780,3036,3155,3225,3281,3307,3313
345,288,366,359,299,189,66,47,41,20,0,345,633,999,1358,1657,1846,1912,1959,2000,2020,2020
557,431,563,612,509,273,130,88,63,36,5,557,988,1551,2163,2672,2945,3075,3163,3226,3262,3267
659,546,721,728,600,336,149,93,70,20,2,659,1205,1926,2654,3254,3590,3739,3832,3902,3922,3924
518,405,737,595,510,297,153,96,61,15,1,518,923,1660,2255,2765,3062,3215,3311,3372,3387,3388
361,333,516,486,430,236,100,84,63,18,2,361,694,1210,1696,2126,2362,2462,2546,2609,2627,2629
396,315,488,476,397,219,113,75,48,19,2,396,711,1199,1675,2072,2291,2404,2479,2527,2546,2548
389,268,354,421,359,190,88,68,41,12,0,389,657,1011,1432,1791,1981,2069,2137,2178,2190,2190
189,150,247,263,207,143,54,49,25,12,2,189,339,586,849,1056,1199,1253,1302,1327,1339,1341
412,288,429,441,366,192,103,70,35,19,1,412,700,1129,1570,1936,2128,2231,2301,2336,2355,2356
